DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (kPa),Tensão Desviadora (kPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
0.1016/j.jobe.2023.108259,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB2-70,-,-,-,46025,19.62,10.88,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1389,599,-112,995,258.61,-,-,-,Base / Sub-base,2% BEC. Aos 70% de OMC. Teor de emulsão recomendado pelos autores para climas úmidos.
0.1016/j.jobe.2023.108260,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB2-90,-,-,-,46025,19.62,10.88,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1298,603,-173,998,236.26,-,-,-,Base / Sub-base,2% BEC. O teor ótimo minimizou a perda do MR quando a umidade subiu para 90% OMC.
0.1016/j.jobe.2023.108261,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB3-70,-,-,-,46025,19.62,10.88,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1589,485,-57,982,277.96,-,-,-,Base / Sub-base,"3% BEC. Teor recomendado para climas secos. Apresentou o MR mais alto (277,96 MPa) entre as amostras de CB secas."
0.1016/j.jobe.2023.108262,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB3-90,-,-,-,46025,19.62,10.88,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1037,669,-84,994,212.93,-,-,-,Base / Sub-base,3% BEC. Aos 90% de OMC o excesso de emulsão e água prejudicou ligeiramente a rigidez do CB.
0.1016/j.jobe.2023.108263,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC1-70,-,-,-,46025,19.52,11,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1456,643,-124,925,318.15,-,-,-,Base / Sub-base,1% BEC. Condicionada a 70% OMC. Classificação USCS: GW. MR consideravelmente maior que o CB nas mesmas condições.
0.1016/j.jobe.2023.108264,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC1-90,-,-,-,46025,19.52,11,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1566,643,-50,939,315.97,-,-,-,Base / Sub-base,"1% BEC. Aos 90% OMC, teve pouquíssima variação elástica se comparada aos 70%."
0.1016/j.jobe.2023.108265,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC2-70,-,-,-,46025,19.52,11,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1872,447,241,932,339.84,-,-,-,Base / Sub-base,2% BEC. Atingiu a média máxima de MR para a pesquisa nas simulações de 70% de umidade OMC.
0.1016/j.jobe.2023.108266,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC2-90,-,-,-,46025,19.52,11,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1450,668,-93,939,295.54,-,-,-,Base / Sub-base,"2% BEC. Em umidade mais elevada (90%), a mistura com 2% demonstrou ser mais estável que as demais de RCC."
0.1016/j.jobe.2023.108267,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC3-70,-,-,-,46025,19.52,11,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1938,466,94,967,336.68,-,-,-,Base / Sub-base,3% BEC. Condição ótima sugerida para uso em climas mais secos com RCC.
0.1016/j.jobe.2023.108268,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC3-90,-,-,-,46025,19.52,11,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1562,584,-237,994,269.81,-,-,-,Base / Sub-base,"3% BEC. Aos 90% OMC apresentou queda expressiva do MR (269,81 MPa) devido ao excesso de fluidos (água + emulsão) reduzindo a interação no material."
10.1016/j.trgeo.2016.03.005,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),Unsoaked (Controle 1),-,-,NP,3.65,18.27,46244,-,-,A-1-b,Sobretaxa 200 N,-,-,-,-,-,-,195,-,-,-,Subleito,Condição não imersa. O MR foi calculado com a velocidade de propagação das ondas P e S.
10.1016/j.trgeo.2016.03.006,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),4-Day Soaked (Controle 2),-,-,NP,3.65,18.27,46244,-,-,A-1-b,Sobretaxa 200 N,-,-,-,-,-,-,145.95,-,-,-,Subleito,"Condição padrão da norma (4 dias de imersão). Segundo os autores, este ensaio tradicional superestima a rigidez final da areia gipsífera em cerca de 65%."
10.1016/j.trgeo.2016.03.007,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),14-Days Cycle (Equilibrium),-,-,NP,3.65,18.27,46244,42,-,A-1-b,Sobretaxa 200 N,-,-,-,-,-,-,103.53,-,-,-,Subleito,"Alta frequência (7 dias umedecendo + 7 secando). O valor do MR reportado é o ""Equilibrium Soaked"", alcançado a partir do 4º ciclo da fase úmida."
10.1016/j.trgeo.2016.03.008,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),60-Days Cycle (Equilibrium),-,-,NP,3.65,18.27,46244,41.47,-,A-1-b,Sobretaxa 200 N,-,-,-,-,-,-,100.85,-,-,-,Subleito,Frequência média (30 dias úmido + 30 dias seco). O MR cai na fase de umedecimento devido à dissolução da cimentação do gesso.
10.1016/j.trgeo.2016.03.009,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),180-Days Cycle (Equilibrium),-,-,NP,3.65,18.27,46244,41.25,-,A-1-b,Sobretaxa 200 N,-,-,-,-,-,-,85.22,-,-,-,Subleito,"Baixa frequência (90 dias umedecendo + 90 secando). Esta imersão prolongada resultou na maior queda do MR (85,22 MPa), representando 43,7% da rigidez inicial não imersa."
10.1061/(ASCE)MT.1943-5533.0002765,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR,30,24,6,8,21.97,8,126,-,-,Múltiplas,Múltiplas,15 Estágios,56.3,-30,1213,0.92,132,-,-,-,Base / Sub-base,Controle CR puro (100%). pH varia de 10 a 12.
10.1061/(ASCE)MT.1943-5533.0002766,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R,-,-,-,-,-,-,89,-,-,Múltiplas,Múltiplas,15 Estágios,46108,-15,1667,0.84,91.3,-,-,-,Base / Sub-base,"A adição de 1% de borracha gerou um esqueleto resiliente, mas derrubou o CBR (para 89%) e o Módulo de Resiliência."
10.1061/(ASCE)MT.1943-5533.0002767,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R + 1% CG,-,-,-,-,24.27,7.75,133,-,-,Múltiplas,Múltiplas,15 Estágios,33.6,-387,1666,0.83,96.1,-,-,-,Base / Sub-base,O vidro (CG) preenche os vazios gerados pela borracha. O CBR voltou a subir superando a brita pura (CBR 133%).
10.1061/(ASCE)MT.1943-5533.0002768,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R + 3% CG,-,-,-,-,46258,8.14,138,-,-,Múltiplas,Múltiplas,15 Estágios,34.7,-258,1724,0.83,105.7,-,-,-,Base / Sub-base,"O aumento para 3% de vidro continuou preenchendo os vazios da borracha, elevando o CBR (138%) e o módulo para 105.7 MPa"
10.1061/(ASCE)MT.1943-5533.0002769,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R + 5% CG,-,-,-,-,23.97,8.28,144,-,-,Múltiplas,Múltiplas,15 Estágios,49.3,406,1069,0.91,131,-,-,-,Base / Sub-base,Mistura ótima de CR: 5% de vidro restaurou o Módulo de Resiliência original (131 MPa) e atingiu o maior CBR da classe.
10.1061/(ASCE)MT.1943-5533.0002770,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA,35,29,6,7,19.72,12,137,-,-,Múltiplas,Múltiplas,15 Estágios,54.7,247,1030,0.98,132,-,-,-,Base / Sub-base,Controle RCA puro (100%). Apresentou CBR superior à brita pura (CR).
10.1061/(ASCE)MT.1943-5533.0002771,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R,-,-,-,-,-,-,116,-,-,Múltiplas,Múltiplas,15 Estágios,46253,311,1668,0.87,81.6,-,-,-,Base / Sub-base,A borracha isolada também reduziu consideravelmente a rigidez do RCA.
10.1061/(ASCE)MT.1943-5533.0002772,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R + 1% CG,-,-,-,-,21.65,12.32,147,-,-,Múltiplas,Múltiplas,15 Estágios,82.1,101,919,0.96,169,-,-,-,Base / Sub-base,"A adição de apenas 1% de vidro já superou (em muito) o MR do RCA puro, alcançando 169 MPa."
10.1061/(ASCE)MT.1943-5533.0002773,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R + 3% CG,-,-,-,-,21.92,11.86,157,-,-,Múltiplas,Múltiplas,15 Estágios,95,-190,1276,0.88,187,-,-,-,Base / Sub-base,Excelente desempenho. A adição de 3% de vidro triturado resultou em um salto expressivo no módulo de resiliência médio alcançando 187 MPa e CBR de 157%
10.1061/(ASCE)MT.1943-5533.0002774,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R + 5% CG,-,-,-,-,21.8,12.51,164,-,-,Múltiplas,Múltiplas,15 Estágios,121,-173,773,0.84,192,-,-,-,Base / Sub-base,"Melhor mistura do artigo. O vidro aumentou a densidade de empacotamento, resultando em CBR excepcional de 164% e MR médio de 192 MPa."
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 0%, CR 0%",-,-,-,-,-,-,-,-,-,-,20% do ITS Máximo,100 cond. + 5 leitura,-,-,-,-,8931,-,-,-,Revestimento Asfáltico,Mistura de Controle (0%). Testemunho de asfalto ACWC virgem (Betume 60/70). Afundamento de trilha de roda = 2.08 mm.
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 0%, CR 7%",-,-,-,-,-,-,-,-,-,-,20% do ITS Máximo,100 cond. + 5 leitura,-,-,-,-,11215,-,-,-,Revestimento Asfáltico,Mistura asfáltica com 7% de borracha como ligante. O afundamento de trilha de roda reduziu para 1.41 mm e obteve o 2º maior MR.
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 15%, CR 0%",-,-,-,-,-,-,-,-,-,-,20% do ITS Máximo,100 cond. + 5 leitura,-,-,-,-,10414,-,-,-,Revestimento Asfáltico,Mistura com 15% de Fresado (RAP) e sem borracha. O RAP aumenta a coesão devido à interação do ligante envelhecido com o novo.
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 15%, CR 7%",-,-,-,-,-,-,-,-,-,-,20% do ITS Máximo,100 cond. + 5 leitura,-,-,-,-,12345,-,-,-,Revestimento Asfáltico,"Mistura Ótima testada no pavimento. Maior Resistência à Tração (8.71 kN), Maior Módulo Resiliente (12345 MPa) e menor Afundamento (1.22 mm)."
