 ,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
https://doi.org/10.1016/j.jobe.2023.108264,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC1-90,,,,46025,"19,52",11,,,A-1-a,,,AASHTO T30799,1566,643,50,939,"315,97",,,,Base / Sub-base,"1% BEC. Aos 90% OMC, teve pouquíssima variação elástica se comparada aos 70%."
https://doi.org/10.1016/j.jobe.2023.108265,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC2-70,,,,46025,"19,52",11,,,A-1-a,,,AASHTO T30799,1872,447,241,932,"339,84",,,,Base / Sub-base,2% BEC. Atingiu a média máxima de MR para a pesquisa nas simulações de 70% de umidade OMC.
https://doi.org/10.1016/j.jobe.2023.108266,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC2-90,,,,46025,"19,52",11,,,A-1-a,,,AASHTO T30799,1450,668,93,939,"295,54",,,,Base / Sub-base,"2% BEC. Em umidade mais elevada (90%), a mistura com 2% demonstrou ser mais estável que as demais de RCC."
https://doi.org/10.1016/j.jobe.2023.108267,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC3-70,,,,46025,"19,52",11,,,A-1-a,,,AASHTO T30799,1938,466,94,967,"336,68",,,,Base / Sub-base,3% BEC. Condição ótima sugerida para uso em climas mais secos com RCC.
https://doi.org/10.1016/j.jobe.2023.108268,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC3-90,,,,46025,"19,52",11,,,A-1-a,,,AASHTO T30799,1562,584,237,994,"269,81",,,,Base / Sub-base,"3% BEC. Aos 90% OMC apresentou queda expressiva do MR (269,81 MPa) devido ao excesso de fluidos (água + emulsão) reduzindo a interação no material."
10.1016/j.trgeo.2016.03.005,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),Unsoaked (Controle 1),,,0,"3,65","18,27",46244,,,A-1-b,"0,011",0,,,,,,195,,,,Subleito,Condição não imersa. O MR foi calculado com a velocidade de propagação das ondas P e S.
10.1016/j.trgeo.2016.03.006,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),4-Day Soaked (Controle 2),,,0,"3,65","18,27",46244,,,A-1-b,"0,011",0,,,,,,"145,95",,,,Subleito,"Condição padrão da norma (4 dias de imersão). Segundo os autores, este ensaio tradicional superestima a rigidez final da areia gipsífera em cerca de 65%."
10.1016/j.trgeo.2016.03.007,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),14-Days Cycle (Equilibrium),,,0,"3,65","18,27",46244,42,,A-1-b,"0,011",0,,,,,,"103,53",,,,Subleito,"Alta frequência (7 dias umedecendo + 7 secando). O valor do MR reportado é o ""Equilibrium Soaked"", alcançado a partir do 4º ciclo da fase úmida."
10.1016/j.trgeo.2016.03.008,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),60-Days Cycle (Equilibrium),,,0,"3,65","18,27",46244,"41,47",,A-1-b,"0,011",0,,,,,,"100,85",,,,Subleito,Frequência média (30 dias úmido + 30 dias seco). O MR cai na fase de umedecimento devido à dissolução da cimentação do gesso.
10.1016/j.trgeo.2016.03.009,Areia rica em Gesso (Gypsum sand),Iraque,"Solo natural (38,8% gesso)",Propagação de Ondas (E),180-Days Cycle (Equilibrium),,,0,"3,65","18,27",46244,"41,25",,A-1-b,"0,011",0,,,,,,"85,22",,,,Subleito,"Baixa frequência (90 dias umedecendo + 90 secando). Esta imersão prolongada resultou na maior queda do MR (85,22 MPa), representando 43,7% da rigidez inicial não imersa."
10.1061/(ASCE)MT.1943-5533.0002765,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR,30,24,6,8,"21,97",8,126,,,,,15 Estágios,"56,3",30,1213,"0,92",132,,,,Base / Sub-base,Controle CR puro (100%). pH varia de 10 a 12.
10.1061/(ASCE)MT.1943-5533.0002766,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R,,,,,,,89,,,,,15 Estágios,46108,15,1667,"0,84","91,3",,,,Base / Sub-base,"A adição de 1% de borracha gerou um esqueleto resiliente, mas derrubou o CBR (para 89%) e o Módulo de Resiliência."
10.1061/(ASCE)MT.1943-5533.0002767,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R + 1% CG,,,,,"24,27","7,75",133,,,,,15 Estágios,"33,6",387,1666,"0,83","96,1",,,,Base / Sub-base,O vidro (CG) preenche os vazios gerados pela borracha. O CBR voltou a subir superando a brita pura (CBR 133%).
10.1061/(ASCE)MT.1943-5533.0002768,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R + 3% CG,,,,,46258,"8,14",138,,,,,15 Estágios,"34,7",258,1724,"0,83","105,7",,,,Base / Sub-base,"O aumento para 3% de vidro continuou preenchendo os vazios da borracha, elevando o CBR (138%) e o módulo para 105.7 MPa"
10.1061/(ASCE)MT.1943-5533.0002769,Brita Reciclada (CR) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,CR + 1% R + 5% CG,,,,,"23,97","8,28",144,,,,,15 Estágios,"49,3",406,1069,"0,91",131,,,,Base / Sub-base,Mistura ótima de CR: 5% de vidro restaurou o Módulo de Resiliência original (131 MPa) e atingiu o maior CBR da classe.
10.1061/(ASCE)MT.1943-5533.0002770,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA,35,29,6,7,"19,72",12,137,,,,,15 Estágios,"54,7",247,1030,"0,98",132,,,,Base / Sub-base,Controle RCA puro (100%). Apresentou CBR superior à brita pura (CR).
10.1061/(ASCE)MT.1943-5533.0002771,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R,,,,,,,116,,,,,15 Estágios,46253,311,1668,"0,87","81,6",,,,Base / Sub-base,A borracha isolada também reduziu consideravelmente a rigidez do RCA.
10.1061/(ASCE)MT.1943-5533.0002772,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R + 1% CG,,,,,"21,65","12,32",147,,,,,15 Estágios,"82,1",101,919,"0,96",169,,,,Base / Sub-base,"A adição de apenas 1% de vidro já superou (em muito) o MR do RCA puro, alcançando 169 MPa."
10.1061/(ASCE)MT.1943-5533.0002773,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R + 3% CG,,,,,"21,92","11,86",157,,,,,15 Estágios,95,190,1276,"0,88",187,,,,Base / Sub-base,Excelente desempenho. A adição de 3% de vidro triturado resultou em um salto expressivo no módulo de resiliência médio alcançando 187 MPa e CBR de 157%
10.1061/(ASCE)MT.1943-5533.0002774,Concreto Reciclado (RCA) + Borracha + Vidro,Austrália,Britado e Misturado,Mr​=k1​(pa​σ3​​+1)k2​(pa​σd​​+1)k3​,RCA + 1% R + 5% CG,,,,,"21,8","12,51",164,,,,,15 Estágios,121,173,773,"0,84",192,,,,Base / Sub-base,"Melhor mistura do artigo. O vidro aumentou a densidade de empacotamento, resultando em CBR excepcional de 164% e MR médio de 192 MPa."
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 0%, CR 0%",,,,,,,,,,0,"0,26","100 cond, + 5 leitura",,,,,8931,,,,Revestimento Asfáltico,Mistura de Controle (0%). Testemunho de asfalto ACWC virgem (Betume 60/70). Afundamento de trilha de roda = 2.08 mm.
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 0%, CR 7%",,,,,,,,,,0,"0,26","100 cond, + 5 leitura",,,,,11215,,,,Revestimento Asfáltico,Mistura asfáltica com 7% de borracha como ligante. O afundamento de trilha de roda reduziu para 1.41 mm e obteve o 2º maior MR.
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 15%, CR 0%",,,,,,,,,,0,"0,26","100 cond, + 5 leitura",,,,,10414,,,,Revestimento Asfáltico,Mistura com 15% de Fresado (RAP) e sem borracha. O RAP aumenta a coesão devido à interação do ligante envelhecido com o novo.
https://doi.org/10.1038/s41598-025-17909-y,RAP + Borracha (CR), Paquistão,Fresado (RAP) e Triturado (CR),-,"RAP 15%, CR 7%",,,,,,,,,,0,"0,26","100 cond, + 5 leitura",,,,,12345,,,,Revestimento Asfáltico,"Mistura Ótima testada no pavimento. Maior Resistência à Tração (8.71 kN), Maior Módulo Resiliente (12345 MPa) e menor Afundamento (1.22 mm)."
10.1016/j.conbuildmat.2023.133816,Controle (Argila),Irã,Natural,Mr = k1*(σd/Pa)^k2,Pure Clay,65,32,33,85,"16,18","22,5","2,9","7,4",A-7-5,,,100,"75,9","-0,272",0,"0,64",,,,,Subleito,Argila altamente expansiva (CH). K1 e K2 extraídos do modelo de Moossazadeh.
10.1016/j.conbuildmat.2023.133816,RCA,Irã,Triturado,Mr = k1*(σd/Pa)^k2,10% RCA (7 days),,,,"77,3","16,48","16,7","6,3","6,3",,,,100,"92,57","-0,233",0,"0,64",108,,,,Subleito,Cura de 7 dias. Adição de RCA reduziu a expansão e elevou a rigidez.
10.1016/j.conbuildmat.2023.133816,RCA,Irã,Triturado,Mr = k1*(σd/Pa)^k2,10% RCA (28 days),,,,"77,3","16,48","16,7","6,3","6,3",,,,100,"106,08","-0,224",0,"0,58",115,,,,Subleito,Cura estendida para 28 dias.
10.1016/j.conbuildmat.2023.133816,RCA,Irã,Triturado,Mr = k1*(σd/Pa)^k2,20% RCA (7 days),,,,"69,6","16,87","15,1","7,2","4,1",,,,100,"130,57","-0,221",0,"0,61",147,,,,Subleito,Cura de 7 dias.
10.1016/j.conbuildmat.2023.133816,RCA,Irã,Triturado,Mr = k1*(σd/Pa)^k2,20% RCA (28 days),,,,"69,6","16,87","15,1","7,2","4,1",,,,100,"158,23","-0,216",0,"0,54",165,,,,Subleito,Cura de 28 dias.
10.1016/j.conbuildmat.2023.133816,RCA,Irã,Triturado,Mr = k1*(σd/Pa)^k2,30% RCA (7 days),,,,"61,9","17,65","13,7","10,3","2,3",,,,100,"144,09","-0,234",0,"0,56",159,,,,Subleito,"Cura de 7 dias. Queda drástica da expansão (2,3%)."
10.1016/j.conbuildmat.2023.133816,RCA,Irã,Triturado,Mr = k1*(σd/Pa)^k2,30% RCA (28 days),,,,"61,9","17,65","13,7","10,3","2,3",,,,100,"175,05","-0,21",0,"0,51",183,,,,Subleito,Cura de 28 dias. Mistura mecânica ótima de RCA sem cimentação.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 3% GBS (7 days),,,,,,,,,,,,100,"182,63","-0,215",0,"0,56",209,,,,Subleito / Sub-base,Adição de estabilizador químico (Escória GBS). Cura de 7 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 3% GBS (28 days),,,,,,,,,,,,100,"225,12","-0,179",0,"0,38",234,,,,Subleito / Sub-base,Cura de 28 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 6% GBS (7 days),,,,,,,,,,,,100,"242,51","-0,154",0,"0,26",236,,,,Subleito / Sub-base,Cura de 7 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 6% GBS (28 days),,,,,,,,,,,,100,"264,14","-0,19",0,"0,4",290,,,,Subleito / Sub-base,Cura de 28 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 9% GBS (7 days),,,,,,,,,,,,100,"309,84","-0,162",0,"0,28",318,,,,Subleito / Sub-base,Cura de 7 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 9% GBS (28 days),,,,,,,,,,,,100,"383,88","-0,148",0,"0,24",404,,,,Subleito / Sub-base,Cura de 28 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 12% GBS (7 days),,,,,,,,,,,,100,"346,56","-0,169",0,"0,25",337,,,,Subleito / Sub-base,Cura de 7 dias.
10.1016/j.conbuildmat.2023.133816,RCA + Escória (GBS),Irã,Triturado e Pó,Mr = k1*(σd/Pa)^k2,20% RCA + 12% GBS (28 days),,,,,,,,,,,,100,"430,9","-0,142",0,"0,2",459,,,,Sub-base,Mistura Ótima atingindo resistência-alvo para sub-base.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,100% A,,,,,"21,1",,65,,,,,100,,,,,550,,,,Base / Sub-base,Agregado natural (A) puro. MR estimado no bulk stress correspondente ao CBR.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,100% F,,,,,"22,1",,74,,,,,100,,,,,600,,,"0,12",Base / Sub-base,"Agregado natural (F) puro. Ensaio longo de DP relatou 0,12% após 20.000 ciclos."
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,100% W,,,,,"22,4",,85,,,,,100,,,,,670,,,,Base / Sub-base,Agregado natural (W) puro. Maior densidade e CBR entre os naturais.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,100% RCA,,,,,"19,2",,53,,,,,100,,,,,410,,,,Base / Sub-base,Agregado de Concreto Reciclado (RCA) puro.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% A + 25% RAP(1),,,,,"20,7",,47,,,,,100,,,,,470,,,,Base / Sub-base,Blend natural A com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% A + 50% RAP(1),,,,,"20,5",,31,,,,,100,,,,,300,,,,Base / Sub-base,Aumento de RAP reduz o CBR da mistura.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% A + 75% RAP(1),,,,,"20,2",,22,,,,,100,,,,,280,,,,Base / Sub-base,Alta concentração de RAP aumenta a deformação e derruba CBR.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% A + 25% RAP(2),,,,,"20,3",,55,,,,,100,,,,,505,,,,Base / Sub-base,Blend natural A com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% A + 50% RAP(2),,,,,"20,8",,39,,,,,100,,,,,410,,,,Base / Sub-base,Blend natural A com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% A + 75% RAP(2),,,,,"21,3",,17,,,,,100,,,,,260,,,,Base / Sub-base,Blend natural A com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% A + 25% RAP(3),,,,,"20,1",,51,,,,,100,,,,,490,,,,Base / Sub-base,Blend natural A com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% A + 50% RAP(3),,,,,"20,5",,30,,,,,100,,,,,315,,,,Base / Sub-base,Blend natural A com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% A + 75% RAP(3),,,,,"19,9",,19,,,,,100,,,,,310,,,,Base / Sub-base,Blend natural A com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% A + 25% RAP(4),,,,,"19,7",,55,,,,,100,,,,,505,,,,Base / Sub-base,Blend natural A com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% A + 50% RAP(4),,,,,"19,8",,43,,,,,100,,,,,402,,,,Base / Sub-base,Blend natural A com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% A + 75% RAP(4),,,,,"19,2",,27,,,,,100,,,,,252,,,,Base / Sub-base,Blend natural A com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% F + 25% RAP(1),,,,,"20,8",,52,,,,,100,,,,,538,,,,Base / Sub-base,Blend natural F com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% F + 50% RAP(1),,,,,"21,3",,41,,,,,100,,,,,455,,,,Base / Sub-base,Blend natural F com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% F + 75% RAP(1),,,,,"20,1",,14,,,,,100,,,,,356,,,,Base / Sub-base,Blend natural F com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% F + 25% RAP(2),,,,,"20,5",,59,,,,,100,,,,,525,,,,Base / Sub-base,Blend natural F com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% F + 50% RAP(2),,,,,"19,9",,48,,,,,100,,,,,407,,,"0,22",Base / Sub-base,"Ensaio longo de DP relatou 0,22% de residual strain para essa amostra."
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% F + 75% RAP(2),,,,,"19,7",,31,,,,,100,,,,,408,,,"0,6",Base / Sub-base,"Altíssimo acúmulo de DP (0,60%) devido à grande quantidade de RAP."
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% F + 25% RAP(3),,,,,"20,1",,62,,,,,100,,,,,667,,,,Base / Sub-base,Blend natural F com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% F + 50% RAP(3),,,,,"19,2",,41,,,,,100,,,,,516,,,,Base / Sub-base,Blend natural F com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% F + 75% RAP(3),,,,,"20,8",,19,,,,,100,,,,,343,,,,Base / Sub-base,Blend natural F com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% F + 25% RAP(4),,,,,"21,3",,43,,,,,100,,,,,515,,,,Base / Sub-base,Blend natural F com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% F + 50% RAP(4),,,,,"20,1",,32,,,,,100,,,,,490,,,,Base / Sub-base,Blend natural F com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% F + 75% RAP(4),,,,,"21,3",,13,,,,,100,,,,,278,,,,Base / Sub-base,Blend natural F com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% W+25% RAP(1),,,,,"20,8",,51,,,,,100,,,,,510,,,,Base / Sub-base,Blend natural W com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% W+50% RAP(1),,,,,"20,5",,44,,,,,100,,,,,500,,,,Base / Sub-base,Blend natural W com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% W+75% RAP(1),,,,,"19,9",,16,,,,,100,,,,,240,,,,Base / Sub-base,Blend natural W com RAP fonte 1.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% W+25% RAP(2),,,,,"19,7",,55,,,,,100,,,,,502,,,,Base / Sub-base,Blend natural W com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% W+50% RAP(2),,,,,"19,9",,31,,,,,100,,,,,438,,,,Base / Sub-base,Blend natural W com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% W+75% RAP(2),,,,,"21,3",,12,,,,,100,,,,,265,,,,Base / Sub-base,Blend natural W com RAP fonte 2.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% W+25% RAP(3),,,,,"20,1",,48,,,,,100,,,,,520,,,,Base / Sub-base,Blend natural W com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% W+50% RAP(3),,,,,"21,3",,35,,,,,100,,,,,447,,,,Base / Sub-base,Blend natural W com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% W+75% RAP(3),,,,,"20,7",,21,,,,,100,,,,,255,,,,Base / Sub-base,Blend natural W com RAP fonte 3.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% W+25% RAP(4),,,,,"20,5",,45,,,,,100,,,,,480,,,,Base / Sub-base,Blend natural W com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% W+50% RAP(4),,,,,"19,9",,34,,,,,100,,,,,473,,,,Base / Sub-base,Blend natural W com RAP fonte 4.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% W+75% RAP(4),,,,,"19,2",,9,,,,,100,,,,,213,,,,Base / Sub-base,Mistura com baixo CBR (9%).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% RCA+ 25% RAP(1),,,,,"20,8",,38,,,,,100,,,,,486,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% RCA+ 50% RAP(1),,,,,"21,3",,23,,,,,100,,,,,330,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% RCA+ 75% RAP(1),,,,,"20,1",,12,,,,,100,,,,,187,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% RCA+ 25% RAP(2),,,,,"21,3",,38,,,,,100,,,,,525,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% RCA+ 50% RAP(2),,,,,"20,1",,31,,,,,100,,,,,356,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% RCA+ 75% RAP(2),,,,,"21,4",,14,,,,,100,,,,,200,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% RCA+ 25% RAP(3),,,,,"20,1",,32,,,,,100,,,,,447,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% RCA+ 50% RAP(3),,,,,"20,5",,15,,,,,100,,,,,226,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% RCA+ 75% RAP(3),,,,,"19,9",,9,,,,,100,,,,,148,,,,Base / Sub-base,Menor MR registrado no estudo (148 MPa) entre os blends de reciclados.
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,75% RCA+ 25% RAP(4),,,,,"19,2",,39,,,,,100,,,,,473,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,50% RCA+ 50% RAP(4),,,,,"20,1",,13,,,,,100,,,,,200,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1155/2019/8238904,RCA / RAP,Paquistão / Canadá,Fresa e Triturado,MR = 49.37(CBR)^0.59,25% RCA+ 75% RAP(4),,,,,"20,2",,18,,,,,100,,,,,161,,,,Base / Sub-base,Blend 100% material reciclado (RCA + RAP).
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_1,,,0,"1,1","18,2",0,,,A-1-a,,,100,1542,"0,65","-0,26","0,94",223,,,,Base,Material Open-Graded (OGDC). OMC zero devido a compactação a seco. USCS: GW.
